,geo_code,Couples with Children,Couples with 1 Child,Couples with 2 Chidren,Couples with 3 Chidlren
948,35250812,70,25,25,25
949,35250813,65,30,30,30
950,35250814,65,30,25,25
951,35250815,225,70,100,100
952,35250826,80,50,70,70
953,35250827,40,15,15,15
954,35250828,50,15,20,20
955,35250829,60,20,20,20
956,35250830,60,20,15,15
957,35250831,235,30,20,20
958,35250832,50,5,5,5
959,35250833,50,25,15,15
960,35250834,45,20,25,25
961,35250835,50,25,25,25
962,35250836,55,25,20,20
963,35250843,100,55,65,65
964,35250845,140,50,40,40
965,35250846,95,30,10,10
966,35250847,50,10,10,10
967,35250848,80,40,50,50
968,35250849,95,85,100,100
969,35250850,130,55,35,35
970,35250851,240,115,85,85
971,35250852,215,90,60,60
972,35250853,45,50,60,60
973,35250854,70,20,20,20
974,35250855,60,55,40,40
