,geo_code,In Labour Force (M),Not in Labour Force (M),Employed (M),Unemployed (M)
1547,35250608,100,55,90,15
1549,35250609,130,60,120,10
1551,35250610,155,45,140,10
1553,35250611,105,70,90,20
1555,35250612,160,50,145,25
1557,35250613,260,115,255,10
1559,35250614,75,30,70,0
1561,35250615,70,105,65,0
1563,35250616,45,45,45,0
1565,35250617,105,70,100,0
1567,35250618,80,55,75,0
1569,35250619,165,75,155,15
1571,35250620,135,40,120,20
1573,35250621,210,85,190,20
1575,35250622,115,35,110,0
1577,35250623,90,50,80,10
1579,35250624,110,40,100,10
1581,35250625,90,75,75,10
1583,35250626,135,80,130,0
1585,35250627,170,65,150,15
1587,35250628,70,75,70,0
1589,35250629,180,170,160,20
1591,35250630,170,65,160,10
1593,35250631,125,60,115,10
1595,35250632,150,80,130,20
1597,35250633,70,20,70,0
1599,35250634,125,105,110,20
1601,35250635,95,50,85,15
1603,35250636,270,115,230,40
1605,35250637,285,175,265,20
1607,35250638,50,30,50,0
1609,35250639,165,75,150,15
1611,35250640,140,80,125,10
1613,35250641,130,30,120,10
1615,35250642,145,70,125,15
1617,35250643,190,85,175,20
1619,35250644,95,40,90,10
1621,35250645,175,90,150,20
1623,35250646,245,120,230,20
1625,35250647,255,60,235,15
