,geo_code,1960 or before,1961 to 1980,1981 to 1990,1991 to 2000,2001 to 2005,2006 to 2010,2011 to 2016
510,35250330,75,50,0,15,0,0,0
511,35250331,135,25,0,10,0,0,0
512,35250332,160,30,0,10,0,0,0
513,35250333,185,20,10,35,10,0,0
514,35250334,170,95,10,0,0,0,0
515,35250335,120,50,0,0,0,0,0
516,35250336,155,30,0,0,0,0,0
517,35250337,160,255,10,10,0,0,0
518,35250338,150,240,10,10,0,0,10
519,35250339,190,25,10,0,0,0,10
520,35250340,105,10,0,0,0,0,0
521,35250341,185,100,10,15,0,0,0
522,35250342,100,45,20,0,0,0,0
523,35250343,120,70,15,10,0,0,0
524,35250344,165,35,10,0,0,0,0
525,35250345,125,30,0,0,0,0,0
526,35250346,145,40,10,10,0,0,0
527,35250347,150,25,0,0,0,0,0
528,35250348,40,145,0,0,0,0,0
529,35250349,60,110,0,0,0,0,0
530,35250350,160,160,10,0,0,0,0
531,35250351,55,160,10,0,0,0,0
532,35250352,140,100,0,0,0,0,0
533,35250353,110,175,10,10,0,0,0
534,35250354,105,100,0,0,0,0,0
535,35250355,150,75,0,0,0,0,0
536,35250356,195,30,0,15,0,0,0
537,35250357,185,25,0,0,0,0,0
538,35250358,225,30,0,10,0,0,0
539,35250359,140,45,10,0,0,0,0
540,35250360,170,25,0,0,0,0,0
541,35250361,190,15,0,0,0,0,0
542,35250362,180,25,10,0,0,0,0
543,35250363,145,50,0,0,0,0,0
544,35250364,95,20,0,0,0,0,10
545,35250365,280,285,35,0,0,0,0
546,35250366,270,100,25,15,0,0,0
547,35250367,170,40,0,10,0,0,0
548,35250368,165,75,10,0,10,10,0
549,35250369,175,35,0,0,0,0,0
550,35250370,150,25,0,0,0,0,0
551,35250371,160,45,10,0,0,0,0
552,35250372,160,25,0,0,0,0,0
553,35250373,145,15,0,0,0,0,0
554,35250374,145,35,0,0,0,0,0
555,35250375,150,45,10,10,15,0,0
556,35250376,185,20,0,0,0,0,0
557,35250377,165,35,20,0,0,25,0
558,35250378,220,0,0,0,0,0,0
559,35250379,120,45,0,0,0,0,0
560,35250380,180,10,10,0,10,0,0
561,35250381,180,15,0,0,0,0,0
562,35250382,185,25,10,0,0,0,0
563,35250383,150,155,35,10,0,10,10
564,35250384,95,35,10,15,0,0,0
565,35250385,140,35,0,10,10,0,0
566,35250387,145,10,0,0,0,0,0
567,35250388,185,20,0,0,0,0,0
568,35250389,165,0,0,0,0,0,0
569,35250390,220,25,10,10,0,0,0
570,35250391,230,60,0,15,0,0,0
571,35250392,210,50,10,0,0,0,0
572,35250393,200,70,0,0,0,0,0
